L,beta,n,eps_opt,gamma,random_state,Alg
150.0,2,19500,0.1,0.99,411781201,Ours
150.0,2,19500,0.1,0.99,411781201,Uniform
150.0,2,20500,0.1,0.99,411781201,Ours
150.0,2,20500,0.17,0.99,411781201,Uniform
150.0,2,21500,0.1,0.99,411781201,Ours
150.0,2,21500,0.17,0.99,411781201,Uniform
150.0,2,22500,0.1,0.99,411781201,Ours
150.0,2,22500,0.17,0.99,411781201,Uniform
150.0,2,23500,0.1,0.99,411781201,Ours
150.0,2,23500,0.1,0.99,411781201,Uniform
150.0,2,24500,0.1,0.99,411781201,Ours
150.0,2,24500,0.1,0.99,411781201,Uniform
150.0,2,25500,0.1,0.99,411781201,Ours
150.0,2,25500,0.1,0.99,411781201,Uniform
150.0,2,26500,0.1,0.99,411781201,Ours
150.0,2,26500,0.1,0.99,411781201,Uniform
150.0,2,27500,0.1,0.99,411781201,Ours
150.0,2,27500,0.1,0.99,411781201,Uniform
